ID,Nombre,Categoría,Unidad,Stock,Stock Mínimo,Precio,Proveedor
fy29m9sgw,"Alga Yakinori 1/2","Algas nori",unidad,0,2,0,Cominport
vjdt7s79k,"Alga Yakinori Araki","Algas nori",unidad,0,2,0,Cominport
n9797a5qj,"Alga Yakinori Araki","Algas nori",unidad,0,2,0,Cominport
8t75r6t6s,"Alga Yakinori Grado A","Algas nori",unidad,0,2,0,Cominport
4h5996feo,"Alga Yakinori Grado A","Algas nori",unidad,0,2,0,Cominport
mbzn5xpjb,"Alga Yakinori Grado B","Algas nori",unidad,0,2,0,Cominport
xp7dv28f4,"Alga Yakinori Grado C","Algas nori",unidad,0,2,0,Cominport
cl252x7sq,"Alga Yakinori Grado Super A","Algas nori",unidad,0,2,0,Cominport
e9vyq9n6r,"Alga Yakinori Miyabi","Algas nori",unidad,0,2,0,Cominport
voqg0mf61,"Algas sazonadas Jaban","Algas nori",unidad,0,2,0,Cominport
m2588rhtt,"Hojas de Soja ""Amarillas"" - Mame Nori","Algas nori",unidad,0,2,0,Cominport
vqwp563n0,"Hojas de Soja ""Naranja"" - Mame Nori","Algas nori",unidad,0,2,0,Cominport
yvp6zuxjr,"Hojas de Soja ""Rosa"" - Mame Nori","Algas nori",unidad,0,2,0,Cominport
qstr8tq4a,"Hojas de Soja ""Sésamo"" - Mame Nori","Algas nori",unidad,0,2,0,Cominport
uh0auo0ph,"Hojas de Soja ""verde"" - Mame Nori","Algas nori",unidad,0,2,0,Cominport
cimn59v5v,"Kizami Nori - Cortado en tiras","Algas nori",unidad,0,2,0,Cominport
pklbhvqoy,"Nori Cup Tartaletas de alga nori","Algas nori",unidad,0,2,0,Cominport
t1apkg9dp,"Snack de Alga Nori condimentada","Algas nori",unidad,0,2,0,Cominport
k58bokekv,"Yakinori ""Kiwami""","Algas nori",unidad,0,2,0,Cominport
85x9j77ql,"Yakinori para onigiri","Algas nori",unidad,0,2,0,Cominport
nj2i76zhu,"Alga Hijiki","Algas y sésamo",unidad,0,2,0,Cominport
n16v3m62p,"Alga Kombu","Algas y sésamo",unidad,0,2,0,Cominport
klhwl312j,"Alga verde en polvo - Ao Nori Ko","Algas y sésamo",unidad,0,2,0,Cominport
dgoyz5fp7,"Algas Tosaka blanca en sal","Algas y sésamo",unidad,0,2,0,Cominport
2njynd54w,"Algas Tosaka roja en sal","Algas y sésamo",unidad,0,2,0,Cominport
evc2xzhrx,"Algas Tosaka verde en sal","Algas y sésamo",unidad,0,2,0,Cominport
op8z7goce,"Algas variadas secas - Kaiso salada","Algas y sésamo",unidad,0,2,0,Cominport
x9hbfb6ro,"Cut Wakame - Para ensalada, sopa…","Algas y sésamo",unidad,0,2,0,Cominport
cg3dta32o,"Cut Wakame - Para ensalada, sopa…","Algas y sésamo",unidad,0,2,0,Cominport
5pblnbdhp,"Cut Wakame - Para ensalada, sopa…","Algas y sésamo",unidad,0,2,0,Cominport
95yzyuona,"Pasta de sésamo - Neri Goma Shiro","Algas y sésamo",unidad,0,2,0,Cominport
vcmfvtpok,"Pasta de sésamo - Neri Goma Shiro","Algas y sésamo",unidad,0,2,0,Cominport
em52valxe,"Pasta de sésamo - Neri Goma Shiro","Algas y sésamo",unidad,0,2,0,Cominport
yc9t5krf4,"Sésamo blanco tostado - Shiro Goma","Algas y sésamo",unidad,0,2,0,Cominport
cirmghe4z,"Sésamo blanco tostado - Shiro Goma","Algas y sésamo",unidad,0,2,0,Cominport
n597ln9h1,"Sésamo negro tostado - Kuro Goma","Algas y sésamo",unidad,0,2,0,Cominport
sejtby6l9,"Sésamo negro tostado - Kuro Goma","Algas y sésamo",unidad,0,2,0,Cominport
iyc46al6j,"Sésamo tostado a la ciruela Ume","Algas y sésamo",unidad,0,2,0,Cominport
vxx3sypo0,"Sésamo tostado al Kimuchi","Algas y sésamo",unidad,0,2,0,Cominport
1714l2x4n,"Sésamo tostado al Kimuchi","Algas y sésamo",unidad,0,2,0,Cominport
dlubiwnqa,"Sésamo tostado al wasabi","Algas y sésamo",unidad,0,2,0,Cominport
fnwgod3ub,"Arroz Fukumaru ""Kiuchi""","Arroz, panko y tempura",unidad,0,2,0,Cominport
0beu3bjo7,"Arroz glutinoso verde en copos","Arroz, panko y tempura",unidad,0,2,0,Cominport
bjtn9q91o,"Arroz Hanayagi Select","Arroz, panko y tempura",unidad,0,2,0,Cominport
961u9b70x,"Arroz Integral Premium GEN-JI-MAI","Arroz, panko y tempura",unidad,0,2,0,Cominport
wqzvdaq4o,"Arroz Japonés de Niigata","Arroz, panko y tempura",unidad,0,2,0,Cominport
8m22qifef,"Arroz Japonés de Niigata","Arroz, panko y tempura",unidad,0,2,0,Cominport
9or9av1z8,"Arroz Japonés Mizumi ""Lake 65""","Arroz, panko y tempura",unidad,0,2,0,Cominport
nu1mlba4b,"Arroz Japonés “Takumi blend”","Arroz, panko y tempura",unidad,0,2,0,Cominport
jxqk0gkwn,"Arroz Japón Kitoku","Arroz, panko y tempura",unidad,0,2,0,Cominport
ftvvvtidw,"Arroz Japón Niigata Koshiibuki","Arroz, panko y tempura",unidad,0,2,0,Cominport
7mvzdcmy2,"Arroz Jazmín ""Daichi""","Arroz, panko y tempura",unidad,0,2,0,Cominport
ro0xf5o6f,"Arroz Jazmín “Thai Hom Mali” - Largo y aromático","Arroz, panko y tempura",unidad,0,2,0,Cominport
qm6vh6ghy,"Arroz Masamune - Arroz de grano corto.","Arroz, panko y tempura",unidad,0,2,0,Cominport
paplrqfev,"Arroz negro Venere","Arroz, panko y tempura",unidad,0,2,0,Cominport
0adwe3guf,"Arroz Niji no Kirameki","Arroz, panko y tempura",unidad,0,2,0,Cominport
77eohhrlp,"Arroz para Sushi Hanabi","Arroz, panko y tempura",unidad,0,2,0,Cominport
mtvdo24br,"Arroz Shinju Mai Koshihikari","Arroz, panko y tempura",unidad,0,2,0,Cominport
oz0e4vm45,"Arroz Shinju-Prime","Arroz, panko y tempura",unidad,0,2,0,Cominport
bvz1fpmyg,"Arroz Shinjumai","Arroz, panko y tempura",unidad,0,2,0,Cominport
b2a4b9kag,"Arroz Shinjumai","Arroz, panko y tempura",unidad,0,2,0,Cominport
4xbh1b75b,"Arroz Shinjumai Premium Musenmai","Arroz, panko y tempura",unidad,0,2,0,Cominport
gcsd9nuey,"Arroz Shinjumai rojo Musenmai","Arroz, panko y tempura",unidad,0,2,0,Cominport
dgkkioc3p,"Harina para Ramen ""Nissin""","Arroz, panko y tempura",unidad,0,2,0,Cominport
pax7kny52,"Masago Arare - Perlas de arroz","Arroz, panko y tempura",unidad,0,2,0,Cominport
soykux2wk,"Panko - Pan rallado estilo japonés","Arroz, panko y tempura",unidad,0,2,0,Cominport
1v0dfv4qq,"Panko “Kiwami” - Pan rallado estilo japonés","Arroz, panko y tempura",unidad,0,2,0,Cominport
3rdh92spa,"Panko “Kiwami” - Pan rallado estilo japonés","Arroz, panko y tempura",unidad,0,2,0,Cominport
dyfowz5lu,"Quinoa roja","Arroz, panko y tempura",unidad,0,2,0,Cominport
bn73sbcba,"Tempurako","Arroz, panko y tempura",unidad,0,2,0,Cominport
f9slq1d14,"Tempurako ""Welna""","Arroz, panko y tempura",unidad,0,2,0,Cominport
nwq2nsmyk,"Tempurako ""Welna""","Arroz, panko y tempura",unidad,0,2,0,Cominport
7n2uogah6,"Tempurako ""Welna""","Arroz, panko y tempura",unidad,0,2,0,Cominport
ejzp4ooho,"Tempurako “Kiwami”","Arroz, panko y tempura",unidad,0,2,0,Cominport
tkxtjzbv1,"Bayas Goji & té verde","Bebidas sin alcohol",unidad,0,2,0,Cominport
vyuhw61g6,"Bebida de aloe vera sabor mango","Bebidas sin alcohol",unidad,0,2,0,Cominport
3vchx5jst,"Bebida de aloe vera sabor original","Bebidas sin alcohol",unidad,0,2,0,Cominport
7rxeqoanb,"Bebida de aloe vera sabor sandia","Bebidas sin alcohol",unidad,0,2,0,Cominport
1te5t8yr9,"Bebida de Yuzu endulzada concentrada","Bebidas sin alcohol",unidad,0,2,0,Cominport
8llgclyz7,"Granada & té verde","Bebidas sin alcohol",unidad,0,2,0,Cominport
wgkricuda,"Limón & té verde","Bebidas sin alcohol",unidad,0,2,0,Cominport
m2ly5q3yh,"Ramune arándanos","Bebidas sin alcohol",unidad,0,2,0,Cominport
kyvr7wi7u,"Ramune de lychee","Bebidas sin alcohol",unidad,0,2,0,Cominport
pvax271q3,"Ramune de piña","Bebidas sin alcohol",unidad,0,2,0,Cominport
s6i6ii7qs,"Ramune matcha","Bebidas sin alcohol",unidad,0,2,0,Cominport
tcpr61eyy,"Alitas de pollo al sésamo","Carnes",unidad,0,2,0,Cominport
fsu7yxqjw,"Bocaditos de pollo con especias japonesas - Microondas","Carnes",unidad,0,2,0,Cominport
3fs42th5e,"Bocaditos de pollo con especias japonesas - Tori karaage","Carnes",unidad,0,2,0,Cominport
oq0yqeqwe,"Brocheta de bolitas de pollo a la parrilla con salsa yakitori. - Tsukune","Carnes",unidad,0,2,0,Cominport
ib32ug8xi,"Brocheta pollo satay ""Kiwami""","Carnes",unidad,0,2,0,Cominport
ccjri6y5u,"Brochetas de pollo asadas al carbón con salsa yakitori - Yakitori de pollo","Carnes",unidad,0,2,0,Cominport
lb2fwa6sx,"Brochetas de pollo asadas al carbón con salsa yakitori - Yakitori de pollo","Carnes",unidad,0,2,0,Cominport
a9t5gvfeb,"Chasu Panceta de cerdo marinada","Carnes",unidad,0,2,0,Cominport
hyzxglz1q,"Dados de pollo asado ""Kiwami""","Carnes",unidad,0,2,0,Cominport
ei8u8tq04,"Foie escalopes","Carnes",unidad,0,2,0,Cominport
crjp6nlon,"Foie mi-cuit 98º - Lata","Carnes",unidad,0,2,0,Cominport
q6r15gti3,"Hamburguesas Wagyu","Carnes",unidad,0,2,0,Cominport
vcagpb581,"Magret de pato - Entero","Carnes",unidad,0,2,0,Cominport
m4no3b6ff,"Miyazaki Ribeye (Lomo alto)","Carnes",unidad,0,2,0,Cominport
cafibvouf,"Miyazaki Ribeye (Lomo alto)","Carnes",unidad,0,2,0,Cominport
bfh5dz3be,"Miyazaki Striploin (Lomo bajo)","Carnes",unidad,0,2,0,Cominport
hp7l4j6dv,"Miyazaki Striploin (Lomo bajo)","Carnes",unidad,0,2,0,Cominport
ouj7abso4,"Miyazaki Tenderloin (solomillo)","Carnes",unidad,0,2,0,Cominport
6fvyxkzt7,"Miyazaki Tenderloin (solomillo)","Carnes",unidad,0,2,0,Cominport
csyvyst78,"Pato deshuesado","Carnes",unidad,0,2,0,Cominport
yg2mr2by4,"Pato desmigado","Carnes",unidad,0,2,0,Cominport
siy4sql3z,"Pechuga de pollo asado""Kiwami""","Carnes",unidad,0,2,0,Cominport
cxv11g7md,"Pollo pechuga asada","Carnes",unidad,0,2,0,Cominport
mtfoygooy,"Tiras de pollo asadas","Carnes",unidad,0,2,0,Cominport
u158z4k9t,"Tiras de pollo asado ""Kiwami""","Carnes",unidad,0,2,0,Cominport
8319oc1d3,"Tori karaage filete","Carnes",unidad,0,2,0,Cominport
xd8k31onj,"Tori karaage “Kiwami”","Carnes",unidad,0,2,0,Cominport
p89vxjbwc,"“Bandidos” de pollo «sweet & chili»","Carnes",unidad,0,2,0,Cominport
bvdtq6reu,"Barril de acero inoxidable","Cervezas",unidad,0,2,0,Cominport
x9scg5rsa,"Cerveza Asahi","Cervezas",unidad,0,2,0,Cominport
ghj3xwd8q,"Cerveza Coedo Beniaka","Cervezas",unidad,0,2,0,Cominport
pxkmgfhos,"Cerveza Coedo Kyara","Cervezas",unidad,0,2,0,Cominport
qd3mtivuw,"Cerveza Coedo Ruri","Cervezas",unidad,0,2,0,Cominport
hv1l1w8m7,"Cerveza Coedo Shiro","Cervezas",unidad,0,2,0,Cominport
c8qr5tyox,"Cerveza Echigo Tostada - Stout","Cervezas",unidad,0,2,0,Cominport
6eq5gp176,"Cerveza Kirin Ichiban","Cervezas",unidad,0,2,0,Cominport
klcffduo7,"Cerveza Kirin Ichiban","Cervezas",unidad,0,2,0,Cominport
4rz6b2a5q,"Cerveza Kirin Ichiban","Cervezas",unidad,0,2,0,Cominport
20jw00fjl,"Cerveza Kirin Ichiban 0.0","Cervezas",unidad,0,2,0,Cominport
4v2cpi0ar,"Cerveza Koshihikari","Cervezas",unidad,0,2,0,Cominport
ewn3vof3u,"Ajo negro","Conservas y harinas",unidad,0,2,0,Cominport
fnm8vy4nx,"Almidón de patata - Katakuriko","Conservas y harinas",unidad,0,2,0,Cominport
egcehaafa,"Almidón de patata - Katakuriko","Conservas y harinas",unidad,0,2,0,Cominport
6xogcsqfh,"Atún al natural - En conserva","Conservas y harinas",unidad,0,2,0,Cominport
4oav6usfx,"Atún en aceite girasol","Conservas y harinas",unidad,0,2,0,Cominport
osxs5pcgv,"Batata morada en polvo","Conservas y harinas",unidad,0,2,0,Cominport
oy7qkkl47,"Brotes de bambú","Conservas y harinas",unidad,0,2,0,Cominport
ozrpcudsm,"Ciruelas aliñadas - Umeboshi japonés","Conservas y harinas",unidad,0,2,0,Cominport
g66yp658h,"Harina arroz - Shiratamako","Conservas y harinas",unidad,0,2,0,Cominport
8xwh4q3kz,"Harina arroz glutinoso - Mochiko","Conservas y harinas",unidad,0,2,0,Cominport
8f537bxyd,"Harina de Kuzu","Conservas y harinas",unidad,0,2,0,Cominport
